protein,n_present_tears,mean_abundance_tears,n_present_plasma,mean_abundance_plasma,log2FC,class
P29622,8,8125145,287,56648.53034489329,7.16418593131365,tear-enriched
P30041,8,680171875,158,2525.1386597065984,18.038605997819737,tear-enriched
P32119,8,74883125,111,1971.6548855068447,15.212214461385916,tear-enriched
P35527,8,1629276250,74,3159.90901204702,18.97546030193616,tear-enriched
P35858,2,1694930,287,135033.99722173074,3.649821276711073,tear-enriched
P36955,7,41111414.28571428,287,152416.83951028963,8.075363457470505,tear-enriched
P37802,8,420036625,258,20114.933203172313,14.349888843898913,tear-enriched
P43652,8,16136825,287,617673.8537402004,4.707365430244501,tear-enriched
P52907,7,22735014.285714287,113,6436.426171766973,11.78614437202415,tear-enriched
P55058,8,192184750,255,30330.684928744446,12.62938060673549,tear-enriched
P59665,8,2876941250,203,5658.522027452591,18.955424113936544,tear-enriched
P60174,8,340905500,178,18378.052690655997,14.179021851289166,tear-enriched
P61626,8,159240750000,287,15532.231393421984,23.289348249438152,tear-enriched
P61769,8,538775000,281,12075.105038137199,15.445240080680103,tear-enriched
P61981,8,34107712.5,97,2608.292252688064,13.674151881237417,tear-enriched
P62937,8,328259375,230,7192.848120117187,15.47771299258003,tear-enriched
P63104,8,286037250,266,23002.90212932386,13.602036817952849,tear-enriched
P68363,8,106740075,238,17817.94646139706,12.54840228262999,tear-enriched
P68366,8,233519375,184,6524.438037043033,15.127107985690289,tear-enriched
P68371,8,272864125,155,9828.985067256805,14.760633982505855,tear-enriched
P78417,8,82533512.5,184,9412.333160151606,13.09798678137141,tear-enriched
P80748,8,40754287.5,88,4323.648162668402,13.202081493861627,tear-enriched
P81605,7,238968285.7142857,77,6738.369287267908,15.113846065254881,tear-enriched
P98160,8,210967500,244,9727.65072631836,14.404421516581024,tear-enriched
Q01518,8,68589687.5,161,50051.065044142444,10.420346395460456,tear-enriched
Q04917,7,12683040,74,2672.6825716173325,12.211784885942826,tear-enriched
Q08380,8,360453625,287,36307.05571255036,13.277236365427077,tear-enriched
Q14247,8,21572850,83,5353.272248601339,11.976238733140423,tear-enriched
Q14515,8,31603275,174,6141.52480816019,12.32895471638004,tear-enriched
Q14624,8,43440937.5,287,168187.2925859511,8.01283417673232,tear-enriched
Q15084,4,35193700,68,1482.5194975909064,14.534005728685361,tear-enriched
Q96PD5,7,12143800,287,70453.68758336508,7.4293086423332255,tear-enriched
Q9BR76,8,42548687.5,43,1350.4287748115007,14.942341564593365,tear-enriched
