protein,n_present,mean_abundance
P0A6A8,0,NA
P0A6B4,0,NA
P0A6B7,0,NA
P0A6D0,0,NA
P0A6D3,0,NA
P0A6D7,0,NA
P0A6E4,0,NA
P0A6E6,0,NA
P0A6F1,0,NA
P0A6F3,0,NA
P0A6F5,0,NA
P0A6F9,0,NA
P0A6G3,0,NA
P0A6G7,0,NA
P0A6H1,0,NA
P0A6H5,0,NA
P0A6I0,0,NA
P0A6I3,0,NA
P0A6J5,0,NA
P0A6J8,0,NA
P0A6K1,0,NA
P0A6K3,0,NA
P0A6K6,0,NA
P0A6L0,0,NA
P0A6L2,0,NA
P0A6M8,0,NA
P0A6N4,0,NA
P0A6N8,0,NA
P0A6P1,0,NA
P0A6P5,0,NA
P0A6P7,0,NA
P0A6P9,0,NA
P0A6Q3,0,NA
P0A6R0,0,NA
P0A6S7,0,NA
P0A6T1,0,NA
P0A6T5,0,NA
P0A6U5,0,NA
P0A6U8,0,NA
P0A6V1,0,NA
P0A6V8,0,NA
P0A6W5,0,NA
P0A6W9,0,NA
P0A6X7,0,NA
P0A6Y1,0,NA
P0A6Y5,0,NA
P0A6Y8,0,NA
P0A6Z1,0,NA
P0A6Z3,0,NA
P0A705,0,NA
P0A707,0,NA
P0A715,0,NA
P0A717,0,NA
P0A722,0,NA
P0A725,0,NA
P0A729,0,NA
P0A734,0,NA
P0A742,0,NA
P0A744,0,NA
P0A749,0,NA
P0A759,0,NA
P0A761,0,NA
P0A763,0,NA
P0A780,0,NA
P0A784,0,NA
P0A786,0,NA
P0A794,0,NA
P0A796,0,NA
P0A799,0,NA
P0A7A2,0,NA
P0A7A9,0,NA
P0A7B1,0,NA
P0A7B5,0,NA
P0A7B8,0,NA
P0A7C2,0,NA
P0A7C6,0,NA
P0A7D1,0,NA
P0A7D4,0,NA
P0A7D7,0,NA
P0A7E1,0,NA
P0A7E5,0,NA
P0A7F3,0,NA
P0A7G6,0,NA
P0A7I0,0,NA
P0A7I4,0,NA
P0A7J3,0,NA
P0A7J7,0,NA
P0A7K2,0,NA
P0A7K6,0,NA
P0A7L0,0,NA
P0A7L3,0,NA
P0A7L8,0,NA
P0A7M2,1,80653900
P0A7M6,0,NA
P0A7M9,0,NA
P0A7N4,0,NA
P0A7N9,0,NA
P0A7R1,0,NA
P0A7R5,0,NA
P0A7R9,0,NA
P0A7S3,0,NA
P0A7S9,0,NA
P0A7T3,0,NA
P0A7T7,0,NA
P0A7U3,0,NA
P0A7U7,0,NA
P0A7V0,0,NA
P0A7V3,0,NA
P0A7V8,0,NA
P0A7W1,0,NA
P0A7W7,0,NA
P0A7X3,0,NA
P0A7X6,0,NA
P0A7Y8,0,NA
P0A7Z0,0,NA
P0A7Z4,0,NA
P0A800,0,NA
P0A805,0,NA
P0A812,0,NA
P0A817,0,NA
P0A821,0,NA
P0A825,0,NA
P0A832,0,NA
P0A836,0,NA
P0A840,0,NA
P0A847,0,NA
P0A850,0,NA
P0A853,0,NA
P0A855,0,NA
P0A858,0,NA
P0A862,0,NA
P0A867,0,NA
P0A870,0,NA
P0A873,0,NA
P0A877,0,NA
P0A879,0,NA
P0A881,0,NA
P0A884,0,NA
P0A8A0,0,NA
P0A8A2,0,NA
P0A8A8,0,NA
P0A8B5,0,NA
P0A8C4,0,NA
P0A8D6,0,NA
P0A8E1,0,NA
P0A8E7,0,NA
P0A8F0,0,NA
P0A8F8,0,NA
P0A8G3,0,NA
P0A8G6,0,NA
P0A8G9,0,NA
P0A8H6,0,NA
P0A8H8,0,NA
P0A8I5,0,NA
P0A8J2,7,6770082857.142858
P0A8J4,0,NA
P0A8J8,0,NA
P0A8K5,0,NA
P0A8L1,0,NA
P0A8M0,0,NA
P0A8M3,0,NA
P0A8M6,0,NA
P0A8N3,0,NA
P0A8N5,0,NA
P0A8P3,0,NA
P0A8R0,0,NA
P0A8R4,0,NA
P0A8S1,0,NA
P0A8T1,0,NA
P0A8T7,0,NA
P0A8V0,0,NA
P0A8V2,1,7776340
P0A8W2,0,NA
P0A8W8,0,NA
P0A8X0,0,NA
P0A8X2,0,NA
P0A8Y3,0,NA
P0A8Y5,0,NA
P0A905,0,NA
P0A910,0,NA
P0A940,0,NA
P0A953,0,NA
P0A955,0,NA
P0A962,0,NA
P0A972,0,NA
P0A991,0,NA
P0A993,0,NA
P0A9A6,0,NA
P0A9A9,0,NA
P0A9B2,0,NA
P0A9C0,0,NA
P0A9C3,0,NA
P0A9C5,0,NA
P0A9C9,0,NA
P0A9D2,0,NA
P0A9D4,0,NA
P0A9D8,0,NA
P0A9F3,0,NA
P0A9G2,0,NA
P0A9G6,0,NA
P0A9H1,0,NA
P0A9J0,0,NA
P0A9J6,0,NA
P0A9J8,0,NA
P0A9K3,0,NA
P0A9K9,0,NA
P0A9L3,0,NA
P0A9L8,0,NA
P0A9M0,0,NA
P0A9M2,0,NA
P0A9M5,0,NA
P0A9M8,0,NA
P0A9N4,0,NA
P0A9P0,0,NA
P0A9P4,0,NA
P0A9Q1,0,NA
P0A9Q5,0,NA
P0A9Q7,0,NA
P0A9Q9,0,NA
P0A9R4,0,NA
P0A9S1,0,NA
P0A9T0,0,NA
P0A9U3,0,NA
P0A9W3,0,NA
P0A9X4,0,NA
P0A9X9,0,NA
P0A9Y6,0,NA
P0A9Z1,0,NA
P0AA04,0,NA
P0AA10,0,NA
P0AA16,0,NA
P0AA25,0,NA
P0AA31,0,NA
P0AA43,0,NA
P0AA89,0,NA
P0AAB6,0,NA
P0AAC0,0,NA
P0AAE0,0,NA
P0AAG0,0,NA
P0AAG8,0,NA
P0AAI3,0,NA
P0AAI5,0,NA
P0AAI9,0,NA
P0AAN5,0,NA
P0AAP3,0,NA
P0AAQ2,0,NA
P0AAR3,0,NA
P0AAT9,0,NA
P0AAV4,0,NA
P0AAV6,0,NA
P0AAX8,0,NA
P0AAZ7,0,NA
P0AB14,0,NA
P0AB24,0,NA
P0AB28,0,NA
P0AB61,0,NA
P0AB65,0,NA
P0AB71,0,NA
P0AB77,0,NA
P0AB80,0,NA
P0AB89,0,NA
P0AB91,0,NA
P0ABA0,0,NA
P0ABA4,0,NA
P0ABA6,0,NA
P0ABB0,0,NA
P0ABB4,0,NA
P0ABC3,0,NA
P0ABC7,0,NA
P0ABD5,0,NA
P0ABD8,0,NA
P0ABF1,0,NA
P0ABF6,0,NA
P0ABH7,0,NA
P0ABH9,0,NA
P0ABJ1,0,NA
P0ABJ9,0,NA
P0ABK5,0,NA
P0ABP8,0,NA
P0ABQ0,0,NA
P0ABQ2,0,NA
P0ABQ4,0,NA
P0ABS1,0,NA
P0ABT2,0,NA
P0ABU2,0,NA
P0ABU5,0,NA
P0ABZ6,0,NA
P0AC02,0,NA
P0AC13,0,NA
P0AC19,0,NA
P0AC33,0,NA
P0AC38,0,NA
P0AC41,0,NA
P0AC51,0,NA
P0AC53,0,NA
P0AC59,0,NA
P0AC62,0,NA
P0AC69,0,NA
P0AC81,0,NA
P0AC84,0,NA
P0AC86,0,NA
P0ACA1,0,NA
P0ACA3,0,NA
P0ACB2,0,NA
P0ACB7,0,NA
P0ACC3,0,NA
P0ACC7,0,NA
P0ACD4,0,NA
P0ACE7,0,NA
P0ACF0,0,NA
P0ACF4,0,NA
P0ACF8,0,NA
P0ACG1,0,NA
P0ACI6,0,NA
P0ACJ0,0,NA
P0ACJ8,0,NA
P0ACQ4,0,NA
P0ACR4,0,NA
P0ACS7,0,NA
P0ACS9,0,NA
P0ACT6,0,NA
P0ACY1,0,NA
P0ACY3,0,NA
P0AD05,0,NA
P0AD33,0,NA
P0AD49,0,NA
P0AD57,0,NA
P0AD59,0,NA
P0AD61,0,NA
P0ADA1,0,NA
P0ADB1,0,NA
P0ADB7,0,NA
P0ADE6,0,NA
P0ADE8,0,NA
P0ADG4,0,NA
P0ADG7,0,NA
P0ADI4,0,NA
P0ADK0,0,NA
P0ADK6,0,NA
P0ADK8,0,NA
P0ADN2,0,NA
P0ADP9,0,NA
P0ADQ2,0,NA
P0ADQ7,0,NA
P0ADR8,0,NA
P0ADS2,0,NA
P0ADS9,0,NA
P0ADT5,0,NA
P0ADU2,0,NA
P0ADU5,0,NA
P0ADV7,0,NA
P0ADW3,0,NA
P0ADX7,0,NA
P0ADY1,0,NA
P0ADY3,0,NA
P0ADY7,0,NA
P0ADZ0,0,NA
P0ADZ4,0,NA
P0ADZ7,0,NA
P0AE01,0,NA
P0AE06,0,NA
P0AE08,0,NA
P0AE12,0,NA
P0AE18,0,NA
P0AE37,0,NA
P0AE48,0,NA
P0AE52,0,NA
P0AE67,0,NA
P0AE88,0,NA
P0AEB2,0,NA
P0AED7,0,NA
P0AEE5,0,NA
P0AEG4,0,NA
P0AEG6,2,2955860
P0AEH3,0,NA
P0AEI1,0,NA
P0AEK2,0,NA
P0AEK4,0,NA
P0AEM9,0,NA
P0AEN1,0,NA
P0AEN8,0,NA
P0AEP3,0,NA
P0AEQ3,0,NA
P0AES2,0,NA
P0AES4,0,NA
P0AES6,0,NA
P0AES9,0,NA
P0AET2,0,NA
P0AET8,0,NA
P0AEU0,0,NA
P0AEU7,0,NA
P0AEW6,0,NA
P0AEW9,0,NA
P0AEX5,0,NA
P0AEX9,3,29792933.333333332
P0AEZ3,0,NA
P0AEZ9,0,NA
P0AF03,0,NA
P0AF08,0,NA
P0AF12,0,NA
P0AF18,0,NA
P0AF20,0,NA
P0AF36,0,NA
P0AF50,0,NA
P0AF67,0,NA
P0AF70,0,NA
P0AF90,0,NA
P0AF93,0,NA
P0AF96,0,NA
P0AFC3,0,NA
P0AFD1,0,NA
P0AFD6,0,NA
P0AFF0,0,NA
P0AFF6,0,NA
P0AFG0,0,NA
P0AFG3,0,NA
P0AFG6,0,NA
P0AFG8,0,NA
P0AFH8,0,NA
P0AFI2,0,NA
P0AFI7,0,NA
P0AFJ1,0,NA
P0AFK0,0,NA
P0AFL3,0,NA
P0AFM2,0,NA
P0AFM4,0,NA
P0AFM6,0,NA
P0AFP6,0,NA
P0AFR4,0,NA
P0AFU8,0,NA
P0AFW0,0,NA
P0AFW4,0,NA
P0AFW8,0,NA
P0AFX9,0,NA
P0AFZ3,0,NA
P0AG07,0,NA
P0AG16,0,NA
P0AG18,0,NA
P0AG20,0,NA
P0AG27,0,NA
P0AG30,0,NA
P0AG44,0,NA
P0AG48,0,NA
P0AG51,0,NA
P0AG55,0,NA
P0AG59,0,NA
P0AG63,0,NA
P0AG67,0,NA
P0AG80,0,NA
P0AG84,0,NA
P0AG86,0,NA
P0AG90,0,NA
P0AGB0,0,NA
P0AGC3,0,NA
P0AGD1,0,NA
P0AGD3,0,NA
P0AGD7,0,NA
P0AGE6,0,NA
P0AGE9,0,NA
P0AGF2,0,NA
P0AGG0,0,NA
P0AGG2,0,NA
P0AGG4,0,NA
P0AGG8,0,NA
P0AGJ5,0,NA
P0AGJ9,0,NA
P0AGK4,0,NA
P0AGK8,0,NA
P0AGL2,0,NA
P0C0L2,0,NA
P0C0L4,8,68539875
P0C0L9,0,NA
P0C0V0,0,NA
P0C7L2,0,NA
P0C8J6,0,NA
P0C8J8,0,NA
P0CE47,0,NA
P0CG19,0,NA
P0CG47,8,84781225
P0DMC7,8,26490225
P0DMV8,8,507350875
P0DOX2,8,65283562500
P0DOX5,8,6900390000
P0DOX7,8,9863881250
P0DP23,8,194097000
P0DTE7,8,10127510
P0DTT0,0,NA
P10121,0,NA
P10371,0,NA
P10378,0,NA
P10408,0,NA
P10599,8,459840625
P10908,0,NA
P10909,8,999205250
P11021,8,42678837.5
P11142,8,383954125
P11216,6,9762211.666666666
P11413,1,27838400
P11447,0,NA
P11454,0,NA
P11557,0,NA
P11586,6,11098606.666666666
P11875,0,NA
P11880,0,NA
P12008,0,NA
P12035,5,160773224
P12273,8,16892375000
P12281,0,NA
P12429,8,82312012.5
P12758,0,NA
P12994,0,NA
P13009,0,NA
P13024,0,NA
P13029,0,NA
P13033,0,NA
P13035,0,NA
P13445,0,NA
P13473,8,33040137.5
P13482,0,NA
P13489,8,130123750
P13639,8,80399050
P13645,8,1006086875
P13646,8,4093570000
P13647,8,1788926250
P13797,8,104734275
P13929,8,355474375
P13987,8,23399100
P14081,0,NA
P14174,8,1036198125
P14176,0,NA
P14550,8,144020375
P14555,8,1246041250
P14618,8,852481875
P14923,7,24298228.57142857
P15034,0,NA
P15042,0,NA
P15047,0,NA
P15067,0,NA
P15078,0,NA
P15104,8,50994162.5
P15254,0,NA
P15288,0,NA
P15311,8,297993125
P15639,0,NA
P15640,0,NA
P15770,0,NA
P15814,8,67705537.5
P15877,0,NA
P15924,4,54449900
P15977,0,NA
P16095,0,NA
P16152,8,58489675
P16384,0,NA
P16456,0,NA
P16659,0,NA
P16700,0,NA
P16703,0,NA
P17115,0,NA
P17117,0,NA
P17169,0,NA
P17655,6,212255833.33333334
P17812,1,5316800
P17846,0,NA
P17854,0,NA
P17931,8,234680250
P17952,0,NA
P18085,5,10346106
P18196,0,NA
P18206,7,18438142.85714286
P18390,0,NA
P18510,8,59866212.5
P18669,8,148704125
P18843,0,NA
P18956,0,NA
P19013,8,1760712500
P19319,0,NA
P19624,0,NA
P19652,7,45335812
P19823,8,41852750
P19827,8,18023337.5
P19926,0,NA
P19971,8,27504100
P20061,8,274489625
P20073,8,12550162.5
P20083,0,NA
P20160,8,24186312.5
P20605,0,NA
P20810,8,14180925
P20966,0,NA
P21151,0,NA
P21165,0,NA
P21170,0,NA
P21177,0,NA
P21179,0,NA
