protein,n_present,mean_abundance
P76116,0,NA
P76121,0,NA
P76128,0,NA
P76143,0,NA
P76145,0,NA
P76176,0,NA
P76177,0,NA
P76187,0,NA
P76193,0,NA
P76215,0,NA
P76216,0,NA
P76217,0,NA
P76235,0,NA
P76251,0,NA
P76256,0,NA
P76290,0,NA
P76316,0,NA
P76346,0,NA
P76372,0,NA
P76402,0,NA
P76407,0,NA
P76503,0,NA
P76536,0,NA
P76558,0,NA
P76561,0,NA
P76569,0,NA
P76576,0,NA
P76594,0,NA
P76621,0,NA
P76658,0,NA
P77171,0,NA
P77202,0,NA
P77213,0,NA
P77247,0,NA
P77258,0,NA
P77318,0,NA
P77348,0,NA
P77395,0,NA
P77434,0,NA
P77454,0,NA
P77455,0,NA
P77488,0,NA
P77499,0,NA
P77522,0,NA
P77552,0,NA
P77581,0,NA
P77625,0,NA
P77674,0,NA
P77689,0,NA
P77695,0,NA
P77717,0,NA
P77718,0,NA
P77735,0,NA
P77739,0,NA
P77754,0,NA
P77756,0,NA
P77804,0,NA
P77808,0,NA
P78371,3,2629770
P78386,5,22505160
P78417,8,82533512.5
P80188,8,579574625
P80303,8,241650125
P80748,8,40754287.5
P81605,7,238968285.7142857
P98088,8,763834500
P98160,8,210967500
Q00610,8,10685650
Q01469,8,506237625
Q01518,8,68589687.5
Q02809,3,5858393.333333333
Q02818,8,30779975
Q04760,8,15941012.5
Q04917,7,12683040
Q05639,8,1114022000
Q06210,2,6901070
Q06323,8,53498887.5
Q06830,8,1125895000
Q08380,8,360453625
Q09666,8,77738987.5
Q12765,1,1183600
Q12931,7,132600714.28571428
Q13126,7,11429721.42857143
Q13162,7,35916314.28571428
Q13228,8,515729000
Q13421,8,1061355000
Q13442,0,NA
Q13630,7,7680107.142857143
Q13813,1,1258200
Q13938,8,20297762.5
Q14118,8,15790975
Q14247,8,21572850
Q14508,8,46223525
Q14515,8,31603275
Q14624,8,43440937.5
Q14697,8,150086500
Q14764,2,10522255
Q14847,7,23864471.42857143
Q14974,4,19841650
Q15084,4,35193700
Q15365,8,30490900
Q15782,8,45294025
Q16378,8,101922937500
Q16651,8,26060150
Q16851,8,32383912.5
Q19T08,3,100485500
Q2I0M4,4,8339527.5
Q2M7R5,0,NA
Q3ZCM7,8,30849512.5
Q46829,0,NA
Q46845,0,NA
Q46851,0,NA
Q46857,0,NA
Q46920,0,NA
Q46938,0,NA
Q46948,0,NA
Q47146,0,NA
Q562R1,8,1200456375
Q57261,0,NA
Q5D862,8,6619513.75
Q5VSP4,8,1353551250
Q6GTX8,0,NA
Q6MZM9,8,1132774000
Q6UXB2,8,50261087.5
Q6UXB3,8,10696197.5
Q6XQN6,7,15756028.57142857
Q6ZVX7,8,15636663.75
Q7Z406,8,113890750
Q8IVF2,8,202505250
Q8N1N4,8,9159067.5
Q8N474,8,201521375
Q8NFJ6,0,NA
Q8TAX7,8,3526753750
Q8WUM4,6,7157726.666666667
Q92743,8,81078137.5
Q92817,8,27696462.5
Q96DA0,8,323123750
Q96DR8,3,796647000
Q96FW1,8,12085603.75
Q96KP4,8,150171125
Q96PD5,7,12143800
Q96S96,7,39323785.71428572
Q96TA1,7,10168062.857142856
Q99497,8,22471912.5
Q99735,8,11581578.75
Q99935,8,11394158750
Q99954,8,4347766250
Q9BR76,8,42548687.5
Q9BRA2,8,19339012.5
Q9BW04,8,13100496.25
Q9GZZ8,8,81851987500
Q9H299,1,13106300
Q9H4A4,7,33205214.285714287
Q9HC38,6,22497500
Q9HCY8,7,2620482.8571428573
Q9NR45,7,27741785.714285713
Q9NRJ3,7,9638031.42857143
Q9NY33,5,2500622
Q9NZT1,8,31495362.5
Q9P1F3,1,2886550
Q9P1U1,6,23043866.666666668
Q9UBC9,8,30609312.5
Q9UBL6,8,5696251.25
Q9UBQ7,2,3235725
Q9UGM3,8,8429877500
Q9UHY7,6,6290571.666666667
Q9UL46,8,9035272.5
Q9Y5Z4,8,38369462.5
Q9Y6X0,0,NA
